vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-154548;1502350;DEPOT;11511354;10.5;1;0.4;0;D33LAT;0000002724;10.5;20151014;20151115;15102512171199;0;5.4;3.6;0;D33LAT-19700084;0.2;9;0;CHROMO VIERGE ;C
D33LAT-154551;000394;DEPOT;000394-7;40;1;0.5;0;D33LAT;0000002726;40;20151014;20151115;15102512171198;0;20;20;0;D33LATLU50671;0.2;40;0;POSTE  TSF;C
D33LAT-154552;000184;DEPOT;000184-38;1;1;0.2;0;D33LAT;0000002727;1;20151014;20151115;15102512171084;0;0.8;0.2;0;D33LAT-19800369;0.055;1;0;Livre enfant;C
D33LAT-154555;000110;DEPOT;000110-2;50;1;0.5;0;D33LAT;0000002729;50;20151014;20151115;15102512171250;0;21.25;21.25;0;D33LATMA50530;0.2;42.5;0;Malle pm bois noir;C
D33LAT-154557;000401;DEPOT;000401-34;8;1;0.2;0;D33LAT;0000002730;8;20151014;20151115;1510251217521;0;6.4;1.6;0;D33LAT-19800369;0.055;8;0;Livre de cuisine;C
D33LAT-154559;000079;DEPOT;000079-12;5;1;0.5;0;D33LAT;0000002732;5;20151014;20151115;1510251217840;0;2.13;2.13;0;D33LAT-10100043;0.2;4.25;0;Lampe pm couleurs;C
D33LAT-154563;000420;DEPOT;000420-45;30;1;0.4;0;D33LAT;0000002734;30;20151014;20151115;15102512171222;0;18;12;0;D33LAT-11300406;0.2;30;0;Cireuse AN 70 FAKIA;C
D33LAT-154564;000069;DEPOT;000069-8;10;1;0.5;0;D33LAT;0000002734;10;20151014;20151115;1510251217942;0;4.25;4.25;0;D33LAT-11100512;0.2;8.5;0;Sac à main tricot gris;C
D33LAT-154565;1501765;DEPOT;11508473;13.5;1;0.38;0;D33LAT;0000002734;13.5;20151014;20151115;1510251217686;0;8.37;5.13;0;D33LAT-10001258;0.2;13.5;0;5E5782-CLOCHE DE TABLE ;C
D33LAT-154566;1502557;DEPOT;11512356;5.6;1;0.5;0;D33LAT;0000002734;5.6;20151014;20151115;1510251217550;0;2.8;2.8;0;D33LAT-11500570;0.2;5.6;0;ROBOT MENAGER MANUEL ;C
D33LAT-154567;1502283;DEPOT;11510927;21;1;0.5;0;D33LAT;0000002734;21;20151014;20151115;15102512171197;0;10.5;10.5;0;D33LAT-11300678;0.2;21;0;VAPORETTO BLEU NOIR ;C
D33LAT-154568;000290;DEPOT;000290-2;15;2;0.5;0;D33LAT;0000002735;30;20151014;20151115;15102512171037;0;15;15;0;D33LAT-11400531;0.2;30;0;ETAGERE MURALE BLANCHE AVEC PORTE VERRES;C
D33LAT-154570;000288;DEPOT;000288-24;15;1;0.5;0;D33LAT;0000002736;15;20151014;20151115;1510251217571;0;7.5;7.5;0;D33LAT-10401009;0.2;15;0;Taie d oreiller brodée;C
D33LAT-154571;000288;DEPOT;000288-7;10;1;0.5;0;D33LAT;0000002736;10;20151014;20151115;1510251217571;0;5;5;0;D33LAT-10401009;0.2;10;0;Taie de traversin anc brodée;C
D33LAT-154575;000420;DEPOT;000420-1;15;1;0.4;0;D33LAT;0000002739;15;20151014;20151115;15102512171222;0;9;6;0;D33LAT-11300406;0.2;15;0;Boite rangement courrier rouge ;C
D33LAT-154576;000335;DEPOT;000335-1;120;1;0.491666;0;D33LAT;0000002740;120;20151014;20151115;1510251217941;0;61;59;0;D33LATGA50664;0.2;120;0;Meuble 12 tiroirs peint décor feuilles;C
D33LAT-154577;1502127;DEPOT;11510251;2.5;1;0.38;0;D33LAT;0000002741;2.5;20151014;20151115;1510251217325;0;1.55;0.95;0;D33LAT-10600207;0.2;2.5;0;F24-TOILE A PEINDRE 24*30;C
D33LAT-154579;000367;DEPOT;000367-3;8;1;0.5;0;D33LAT;0000002743;8;20151014;20151115;1510251217173;0;4;4;0;D33LAT-10401216;0.2;8;0;Perche a cintre ;C
D33LAT-154583;000165;DEPOT;000165-1;25;1;0.5;0;D33LAT;0000002745;25;20151014;20151115;15102512171196;0;12.5;12.5;0;D33LAT-10000313;0.2;25;0;Pot de fleurs ;C
D33LAT-154586;1501953;DEPOT;11509473;41.25;1;0.5;0;D33LAT;0000002747;41.25;20151014;20151115;1510251217940;0;20.63;20.63;0;D33LAT-11400447;0.2;41.25;0;PARAVENT RETRACTABLE 300*150;C
D33LAT-154587;1503008;DEPOT;11514963;3;1;0.2;0;D33LAT;0000002748;3;20151014;20151115;1510251217579;0;2.4;0.6;0;D33LAT-19800369;0.2;3;0;CD AUDIO ;C
D33LAT-154590;000427;DEPOT;000427-22;5;1;0.38;0;D33LAT;0000002750;5;20151014;20151115;1510251217698;0;3.1;1.9;0;D33LAT-10600207;0.2;5;0;D208-matelas animax n1;C
D33LAT-154591;1502566;DEPOT;11512397;5.6;1;0.5;0;D33LAT;0000002751;5.6;20151014;20151115;1510251217684;0;2.8;2.8;0;D33LAT-11300424;0.2;5.6;0;PORTE BOUTEILLE PM METAL;C
D33LAT-154592;000380;DEPOT;000380-4;10;1;0.5;0;D33LAT;0000002751;10;20151014;20151115;15102512171195;0;5;5;0;D33LAT50001599;0.2;10;0;Range bouteilles noir;C
D33LAT-154593;1502519;DEPOT;11512056;5;2;0.5;0;D33LAT;0000002752;10;20151014;20151115;1510251217171;0;3.5;3.5;0;D33LAT-11500606;0.2;7;0;CADRE BLEU ENFANT ;C
D33LAT-154594;1502546;DEPOT;11512177;10.5;1;0.5;0;D33LAT;0000002752;10.5;20151014;20151115;15102512171194;0;5.25;5.25;0;D33LAT-10700275;0.2;10.5;0;PAPYRUS ;C
D33LAT-154597;1502410;DEPOT;11511526;17.5;1;0.5;0;D33LAT;0000002753;17.5;20151014;20151115;1510251217938;0;8.75;8.75;0;D33LAT-10301603;0.2;17.5;0;BROUETTE GALVA ;C
D33LAT-154598;1501478;DEPOT;11507056;247.5;1;0.470202;0;D33LAT;0000002754;247.5;20151014;20151115;1510251217170;0;131.13;116.37;0;D33LAT-11500381;0.2;247.5;0;PIANO DROIT NOCTURNO LAQUE NOIR + TABOURET;C
D33LAT-154608;1503019;DEPOT;11514685;4;1;0.4;0;D33LAT;0000002759;4;20151015;20151115;151025121761;0;2.04;1.36;0;D33LAT-11300406;0.2;3.4;0;PELUCHE PM ;C
D33LAT-154609;1502549;DEPOT;11512193;4;1;0.4;0;D33LAT;0000002760;4;20151015;20151115;1510251217316;0;1.68;1.12;0;D33LAT-11300406;0.2;2.8;0;LOT DE 3 VERRES COUL ;C
D33LAT-154610;000420;DEPOT;000420-42;10;1;0.4;0;D33LAT;0000002760;10;20151015;20151115;15102512171222;0;6;4;0;D33LAT-11300406;0.2;10;0;Chauffe eau TEFAL;C
D33LAT-154612;1501588;DEPOT;11507581;420;1;0.01;0;D33LAT;0000002761;420;20151015;20151115;1510251217580;0;415.8;4.2;0;D33LAT-11300098;0.2;420;0;JAP06 BIBLIOTHEQUE 2 T TECK ZIG ZAG 90/35/200;C
D33LAT-154615;1501588;DEPOT;11507576;420;1;0.01;0;D33LAT;0000002761;420;20151015;20151115;1510251217580;0;415.8;4.2;0;D33LAT-11300098;0.2;420;0;JN12 BIBLIOTHEQUE TECK 2 T  80/36/195;C
D33LAT-154616;1502410;DEPOT;11511528;15;1;0.5;0;D33LAT;0000002762;15;20151015;20151115;1510251217938;0;7.5;7.5;0;D33LAT-10301603;0.2;15;0;MARCHEPIED ;C
D33LAT-154617;000214;DEPOT;000214-51;45;1;0.5;0;D33LAT;0000002762;45;20151015;20151115;1510251217319;0;22.5;22.5;0;D33LATDU50607;0.2;45;0;Escabeau 5 marches;C
D33LAT-154618;1500411;DEPOT;11502151;1;1;0.38;0;D33LAT;0000002763;1;20151015;20151115;1510251217294;0;0.62;0.38;0;D33LAT-10600207;0.2;1;0;C272 BATON D ENCENS X60 N2;C
D33LAT-154619;000420;DEPOT;000420-12;15;1;0.4;0;D33LAT;0000002764;15;20151015;20151115;15102512171222;0;9;6;0;D33LAT-11300406;0.2;15;0;Porte PM bois ;C
D33LAT-154621;000269;DEPOT;000269-2;75;1;0.5;0;D33LAT;0000002766;75;20151015;20151115;15102512171311;0;37.5;37.5;0;D33LAT-10001200;0.2;75;0;COMMODE 2T+2;C
D33LAT-154622;1503096;DEPOT;11515183;42.5;1;0.2;0;D33LAT;0000002767;42.5;20151015;20151115;15102512171193;0;34;8.5;0;D33LAT-19800369;0.2;42.5;0;MEUBLE PM 2 PORTES ;C
D33LAT-154623;1503036;DEPOT;11514835;51;1;0.5;0;D33LAT;0000002768;51;20151015;20151115;1510251217937;0;25.5;25.5;0;D33LAT-11400320;0.2;51;0;VELO ORANGE NOIR VTT ;C
D33LAT-154624;1501348;DEPOT;11506427;2;1;0.38;0;D33LAT;0000002769;2;20151015;20151115;15102512171090;0;1.24;0.76;0;D33LAT-10600207;0.2;2;0;A320 PILE BOUTON ;C
D33LAT-154625;000427;DEPOT;000427-32;3.5;1;0.38;0;D33LAT;0000002769;3.5;20151015;20151115;1510251217698;0;2.17;1.33;0;D33LAT-10600207;0.2;3.5;0;D435-moule à tarte;C
D33LAT-154626;1502127;DEPOT;11510319;2.5;1;0.38;0;D33LAT;0000002770;2.5;20151015;20151115;1510251217325;0;1.55;0.95;0;D33LAT-10600207;0.2;2.5;0;E31 THERMOMETRE ;C
D33LAT-154627;1503026;DEPOT;11514771;3.4;1;0.5;0;D33LAT;0000002770;3.4;20151015;20151115;1510251217992;0;1.7;1.7;0;D33LAT-11400323;0.2;3.4;0;POIGNEE DE PORTE METAL ;C
D33LAT-154629;000288;DEPOT;000288-37;8;1;0.5;0;D33LAT;0000002770;8;20151015;20151115;1510251217571;0;4;4;0;D33LAT-10401009;0.2;8;0;Lot de verres orangeade;C
D33LAT-154632;000172;DEPOT;000172-21;30;1;0.5;0;D33LAT;0000002772;30;20151015;20151115;151025121743;0;15;15;0;D33LATPO50572;0.2;30;0;CHAISE BB BOIS BLANCHE;C
